Serial No.,Camera1,Camera2,Fused
1.0,175.96,175.96,176.84
2.0,176.12,175.9,176.27
3.0,175.88,175.02,175.72
4.0,175.85,175.72,175.78
5.0,175.57,175.23,175.53
6.0,175.69,176.59,175.96
7.0,175.22,175.94,175.71
8.0,175.38,176.69,175.94
9.0,175.39,176.27,175.89
10.0,175.09,175.87,175.63
11.0,175.47,175.86,175.66
12.0,175.28,176.34,175.79
13.0,175.31,176.38,175.85
14.0,175.78,176.57,176.1
15.0,175.39,176.16,175.9
16.0,175.42,176.64,176.01
17.0,175.8,176.13,176.0
18.0,175.78,176.81,176.22
19.0,175.52,176.72,176.16
20.0,175.86,177.02,176.37
21.0,175.45,177.06,176.3
22.0,175.6,177.65,176.52
23.0,176.64,177.3,176.85
24.0,177.53,177.09,177.22
25.0,177.18,176.63,177.11
26.0,176.93,174.05,176.62
27.0,175.53,173.77,175.75
28.0,174.48,171.04,174.88
29.0,170.47,170.34,172.79
30.0,170.73,170.23,171.76
31.0,165.43,166.75,168.92
32.0,166.82,160.96,166.99
33.0,164.99,155.73,164.57
34.0,160.47,149.56,160.85
35.0,158.78,149.94,158.36
36.0,157.31,151.73,156.86
37.0,155.93,154.68,156.21
38.0,157.2,153.97,156.23
39.0,155.82,151.83,155.75
40.0,155.66,159.42,156.06
41.0,151.33,154.84,153.7
42.0,152.6,156.52,153.48
43.0,149.88,156.66,152.31
44.0,149.0,155.93,151.28
45.0,149.22,155.92,151.05
46.0,150.25,155.76,151.57
47.0,148.26,153.36,150.47
48.0,148.9,153.47,150.39
49.0,148.65,151.54,149.98
50.0,147.78,150.17,149.18
51.0,146.76,150.56,148.52
52.0,145.8,151.18,148.03
53.0,147.81,150.28,148.5
54.0,147.99,149.04,148.45
55.0,150.34,149.68,149.51
56.0,149.78,147.8,149.27
57.0,148.27,148.69,148.73
58.0,147.53,150.75,148.7
59.0,148.68,150.71,149.17
60.0,148.71,148.62,148.88
61.0,149.82,151.44,149.85
62.0,148.5,150.95,149.56
63.0,147.36,152.87,149.43
64.0,149.04,150.96,149.61
65.0,147.58,149.35,148.72
66.0,144.94,151.77,147.71
67.0,144.59,147.89,146.38
68.0,145.2,149.35,146.43
69.0,146.03,146.05,146.22
70.0,146.12,146.4,146.24
71.0,145.8,143.57,145.65
72.0,144.6,143.58,144.85
73.0,143.52,143.01,143.98
74.0,142.92,143.07,143.38
75.0,142.46,143.5,143.02
76.0,144.81,142.54,143.74
77.0,143.52,142.95,143.54
78.0,143.72,144.38,143.77
79.0,145.55,143.94,144.62
80.0,144.93,142.64,144.46
81.0,145.97,141.91,144.7
82.0,145.3,142.66,144.66
83.0,146.18,141.46,144.81
84.0,145.8,142.22,144.87
85.0,145.77,144.65,145.25
86.0,145.17,142.93,144.86
87.0,146.45,142.9,145.26
88.0,146.01,142.29,145.16
89.0,146.67,145.47,145.89
90.0,146.46,145.63,146.14
